Question,Answer,Keywords,Category
"What is your return policy?","You can return items within 30 days of purchase.","return, policy","Returns"
"How can I track my order?","You can track your order using the tracking ID sent to your email.","track, order","Shipping"
"Do you offer international shipping?","Yes, we ship to over 100 countries worldwide.","international, shipping","Shipping"
"How do I contact customer service?","You can contact customer service via our support email or phone number available on the contact page.","contact, customer service","Support"
"How long will my order take to arrive?","Orders typically take 5-7 business days to arrive, depending on your location.","delivery, arrival, time","Shipping"
"Can I change my shipping address after placing an order?","Unfortunately, once an order is placed, we cannot change the shipping address. Please contact support immediately if there’s an issue.","change, shipping address","Shipping"
"Do you offer gift wrapping?","Yes, we offer gift wrapping for an additional fee. You can select this option during checkout.","gift, wrapping","Support"
"Can I cancel my order?","Orders can be canceled within 24 hours of placement. Please contact customer service for assistance.","cancel, order","Returns"
"Are your products eco-friendly?","We offer a wide range of eco-friendly products. Look for the 'Eco-Friendly' label on the product page.","eco-friendly, products","Product Info"
"Do you accept returns for sale items?","Sale items can be returned only if they are defective or damaged upon arrival.","sale, return, policy","Returns"
"How can I pay for my order?","We accept credit cards, PayPal, and Apple Pay for payment.","payment, credit card, PayPal","Payments"
"What should I do if I receive a damaged item?","If you receive a damaged item, please contact customer service within 7 days for a replacement or refund.","damaged, item, replacement","Returns"
"How do I use a discount code?","Enter your discount code at checkout to apply the discount to your total order.","discount, code, checkout","Payments"
"How do I know if an item is in stock?","Product availability is shown on the product page. If an item is out of stock, you can sign up for restock notifications.","stock, availability","Product Info"
"Can I buy a gift card?","Yes, you can purchase gift cards in various denominations on our website.","gift card, purchase","Support"
"How do I create an account?","To create an account, click on the 'Sign Up' button at the top right corner of the website and fill in your details.","create, account","Account"
"How do I reset my password?","If you've forgotten your password, click on 'Forgot Password' on the login page to reset it.","reset, password","Account"
"What happens if my payment fails?","If your payment fails, you will be notified immediately. Please check your payment details or try a different payment method.","payment, failure, retry","Payments"
